question, answer, decoy1, decoy2, decoy3
"What artist released the hit song 'Uptown Funk' in 2014?", "Mark Ronson", "Bruno Mars", "Pharrell Williams", "Justin Timberlake"
"What is the name of the character played by Millie Bobby Brown in the Netflix series 'Stranger Things'?", "Eleven", "Max", "Nancy", "Joyce"
"What movie won the Academy Award for Best Picture in 2016?", "Moonlight", "La La Land", "Arrival", "Manchester by the Sea"
"What celebrity couple famously split up in 2016, causing a media frenzy?", "Brad Pitt and Angelina Jolie", "Kim Kardashian and Kanye West", "Taylor Swift and Calvin Harris", "Beyoncé and Jay-Z"
"What is the name of the character played by Ryan Reynolds in the 2016 movie 'Deadpool'?", "Wade Wilson", "Peter Quill", "Tony Stark", "Bruce Wayne"
"What is the name of the dance that became popular in 2015 and features the whip and the nae nae?", "Whip/Nae Nae", "Dab", "Floss", "Dougie"
"What band released the hit song 'Radioactive' in 2012?", "Imagine Dragons", "OneRepublic", "Coldplay", "Maroon 5"
"What movie franchise released its seventh installment in 2015, following the death of one of its main actors?", "Fast and Furious", "Mission: Impossible", "James Bond", "Pirates of the Caribbean"
"What video game, developed by Mojang, became a worldwide phenomenon in the early 2010s?", "Minecraft", "Fortnite", "Call of Duty", "League of Legends"
"What singer released the album '1989' in 2014, which marked a departure from her country roots?", "Taylor Swift", "Adele", "Beyoncé", "Rihanna"
